error_type,timestamp,provider,model,session,entry,error_detail,status,attempt,signal,source_file,evidence
stream_error,2026-08-03 00:00:56,local,Qwen3,019fc48a-4c17-7705-a526-83c4f43b7e04,,NameError,,,,proxy.log.2026-08-03_03,"2026-08-03 00:00:56,367 - WARNING - Stream error: session=019fc48a-4c17-7705-a526-83c4f43b7e04 provider=local model=Qwen3 error=NameError"
stream_finish_error,2026-08-03 00:00:56,local,Qwen3,019fc48a-4c17-7705-a526-83c4f43b7e04,,finish_reason:error,,,,proxy.log.2026-08-03_03,"2026-08-03 00:00:56,368 - INFO - Stream finished: reason=error session=019fc48a-4c17-7705-a526-83c4f43b7e04 provider=local model=Qwen3 request=[{'type': 'text', 'text': '<skill name=""implement"" location=""/home/rgardler/.pi/..."
backend_retry,2026-08-03 00:01:24,,,,,ReadTimeout,,4/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:01:24,113 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=4/8 delay=1.818s signal=timeout_failures error=ReadTimeout"
upstream_http_error,2026-08-03 00:04:58,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:04:58,042 - WARNING - [remote] upstream error status=400 url=https://api.deepseek.com/v1/chat/completions body={""error"":{""message"":""The `reasoning_content` in the thinking mode must be passed back to the API."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}"
upstream_http_error,2026-08-03 00:05:39,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:05:39,936 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:05:40,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:05:40,825 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:07:51,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:07:51,033 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:07:51,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:07:51,961 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:07:52,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:07:52,745 - WARNING - [remote] upstream error status=400 url=https://api.deepseek.com/v1/chat/completions body={""error"":{""message"":""The `reasoning_content` in the thinking mode must be passed back to the API."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}"
backend_retry,2026-08-03 00:15:59,,,,,ReadTimeout,,1/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:15:59,668 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=1/8 delay=0.208s signal=timeout_failures error=ReadTimeout"
backend_retry,2026-08-03 00:25:05,,,,,ReadTimeout,,1/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:25:05,545 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=1/8 delay=0.251s signal=timeout_failures error=ReadTimeout"
backend_retry,2026-08-03 00:27:53,,,,,ReadTimeout,,1/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:27:53,502 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=1/8 delay=0.275s signal=timeout_failures error=ReadTimeout"
backend_retry,2026-08-03 00:31:33,,,,,ReadTimeout,,1/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:31:33,089 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=1/8 delay=0.279s signal=timeout_failures error=ReadTimeout"
backend_retry,2026-08-03 00:32:29,,,,,ReadTimeout,,1/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:32:29,307 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=1/8 delay=0.233s signal=timeout_failures error=ReadTimeout"
backend_retry,2026-08-03 00:33:43,,,,,ReadTimeout,,2/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:33:43,669 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=2/8 delay=0.381s signal=timeout_failures error=ReadTimeout"
backend_retry,2026-08-03 00:37:02,,,,,ReadTimeout,,2/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:37:02,348 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=2/8 delay=0.484s signal=timeout_failures error=ReadTimeout"
backend_retry,2026-08-03 00:37:26,,,,,ReadTimeout,,1/8,timeout_failures,proxy.log.2026-08-03_03,"2026-08-03 00:37:26,261 - WARNING - backend_retry path=v1/chat/completions stream=True attempt=1/8 delay=0.213s signal=timeout_failures error=ReadTimeout"
upstream_http_error,2026-08-03 00:39:00,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:39:00,972 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:39:01,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:39:01,944 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:39:02,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:39:02,668 - WARNING - [remote] upstream error status=400 url=https://api.deepseek.com/v1/chat/completions body={""error"":{""message"":""The `reasoning_content` in the thinking mode must be passed back to the API."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}"
upstream_http_error,2026-08-03 00:39:51,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:39:51,542 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:39:52,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:39:52,545 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:39:53,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:39:53,114 - WARNING - [remote] upstream error status=400 url=https://api.deepseek.com/v1/chat/completions body={""error"":{""message"":""The `reasoning_content` in the thinking mode must be passed back to the API."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}"
upstream_http_error,2026-08-03 00:40:51,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:40:51,070 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:40:51,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:40:51,995 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
upstream_http_error,2026-08-03 00:40:52,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:40:52,582 - WARNING - [remote] upstream error status=400 url=https://api.deepseek.com/v1/chat/completions body={""error"":{""message"":""The `reasoning_content` in the thinking mode must be passed back to the API."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}"
upstream_http_error,2026-08-03 00:41:05,,,,,,400,,,proxy.log.2026-08-03_03,"2026-08-03 00:41:05,536 - WARNING - [remote] upstream error status=400 url=https://opencode.ai/zen/go/v1/chat/completions body={""error"":{""param"":null,""type"":""invalid_request_error"",""code"":""invalid_request_error"",""message"":""Error from provider (Console Go): Upstream request failed: [invalid_request_error] The `reasoning_content` in the thinking mode must be passed back to the API.""}}"
